for_player,for_club,for_age,for_comp,for_time_norm,for_value_eur,for_contract_years_left,for_big_club,for_xG_per90,for_dribbles_per90,for_sot_per90,for_xA_per90,for_dis_per90
Matías Soulé,as roma,23,serie a,24.01,35000000,3,1,0.17,1.46,0.75,0.18,2.25
 Francisco Conceição,juventus,23,serie a,23.11,30000000,4,1,0.33,2.32,0.99,0.22,1.16
Jonathan Rowe,bologna,23,serie a,17.9,28000000,3,0,0.22,2.74,0.95,0.11,1.68
Bradley Barcola,psg,23,ligue 1,19.44,70000000,2,1,0.56,1.85,1.59,0.23,1.18
Hamza Igamane,lille,23,ligue 1,4.76,18000000,4,0,0.75,2.73,1.89,0.17,1.89
 Jonathan Rowe,bologna,23,serie a,17.9,28000000,3,0,0.22,2.74,0.95,0.11,1.68
Ansu Fati,as monaco,23,ligue 1,12.07,15000000,4,1,0.79,1.16,1.99,0.11,1.16
Mika Biereth,as monaco,23,ligue 1,11.81,15000000,4,1,0.28,0.34,0.59,0.13,1.95
 Martial Godo,strasbourg,23,ligue 1,17.63,23000000,4,0,0.45,1.36,0.96,0.14,1.7
 Dilane Bakwa,nottingham,23,epl,6.13,28000000,4,0,0.09,1.3,0.49,0.17,0.82
Joaquín Panichelli,strasbourg,23,ligue 1,24.39,35000000,4,0,0.58,0.45,1.27,0.06,1.07
Emmanuel Emegha,chelsea,23,epl,4.89,25000000,7,1,0.8,0.61,1.64,0.03,0.2
Pablo Pagis,paris fc,23,ligue 1,19.67,15000000,5,0,0.39,1.17,0.97,0.17,1.12
Gonzalo Garcia,real madrid,22,laliga,10.58,30000000,4,1,0.51,0.28,1.04,0.11,0.85
Giuliano Simeone,atletico madrid,23,laliga,23.43,40000000,4,1,0.22,1.24,0.6,0.21,1.19
 Williot Swedberg,celta vigo,22,laliga,14.09,20000000,3,0,0.3,0.71,0.85,0.09,1.28
Savinho,manchester city,22,epl,9.12,35000000,5,1,0.25,1.86,1.21,0.18,0.99
Amad Diallo,manchester united,23,epl,26.04,45000000,4,1,0.21,1.5,0.88,0.18,0.96
Benjamin Sesko,manchester united,23,epl,18.17,75000000,4,1,0.51,0.55,1.87,0.02,1.65
Nilson Angulo,sunderland,23,epl,4.51,17000000,4,0,0.17,1.55,0.67,0.02,0.05
 Liam Delap,chelsea,23,epl,12.24,28000000,5,1,0.36,0.82,0.9,0.02,1.8
Kevin,fulham,23,epl,11.52,25000000,4,0,0.1,3.82,0.87,0.13,2
Oscar Bobb,fulham,23,epl,11.52,28000000,5,0,0.13,2.34,0.26,0.18,2
William Osula,newcastle,23,epl,9.01,28000000,3,0,0.48,0.89,1.33,0.07,1.44
 Thierno Barry,everton,23,epl,21.28,30000000,3,0,0.38,0.42,0.66,0.02,1.08
Wilfried Gnonto,leeds united,22,epl,5.82,16000000,2,0,0.07,0.86,0.05,0.05,0.05
 Yéremy Pino,crystal palace,23,epl,23.23,30000000,4,0,0.19,0.77,0.47,0.26,1.46
