def_player,def_club,def_age,def_comp,def_time_norm,def_value_eur,def_contract_years_left,def_big_club,def_int_per90,def_recov_per90,def_dis_per90,def_tkl_won_per90
 Nnamdi Collins,frankfurt,20,Bundesliga,16.63,20000000,4,0,1.5,3.19,0.3,2.95
Nathaniel Brown,bayern munich,23,Bundesliga,29.52,40000000,5,1,0.88,4,0.81,2.74
Leopold Querfeld,union berlin,22,Bundesliga,30.04,20000000,4,0,1.2,2.86,0.3,1.73
Wesley,as roma,22,Serie A,27.3,40000000,4,1,0.84,4.29,0.92,1.94
Alex Valle,como,22,Serie A,22.5,12000000,3,0,1.02,2.67,0.31,2.27
Giorgio Scalvini,atlanta,22,Serie A,20.19,32000000,2,0,2.13,4.95,0.3,2.33
Martin Vitik,bologna,23,Serie A,14.71,13000000,3,0,0.68,2.18,0.27,2.45
 Oliver Provstgaard,lazio,23,Serie A,16.97,16000000,3,0,0.88,3.36,0.29,0.71
Tarik Muharemovi,leeds,23,epl,31.5,25000000,5,0,1.43,2.89,0.06,1.4
Alessandro Circati,parma,22,Serie A,29.62,12000000,3,0,0.81,3,0.17,1.45
 Mariano Troilo,parma,23,Serie A,18.09,10000000,4,0,1,3.48,0.17,1.55
 Ilya Zabarnyi,psg,23,ligue 1,26.52,40000000,4,1,0.75,4.49,0.08,1.21
Lucas Beraldo,psg,22,ligue 1,17.44,22000000,2,1,1.2,4.82,0.29,1.78
Samson Baidoo,rc lens,22,ligue 1,20.3,25000000,4,0,1.13,5.17,0.05,1.67
Nathan Ngoy,lille,23,ligue 1,26.71,25000000,3,0,1.35,4.34,0.07,1.24
Ismael Doukoure,strasbourg,22,ligue 1,23.06,20000000,2,0,1,4.25,0.35,0.87
Guela Doue,strasbourg,23,ligue 1,22.92,20000000,3,0,1.18,4.32,1.05,2.18
 Charlie Cresswell,toulouse,23,ligue 1,28.14,25000000,2,0,0.99,2.63,0.28,0.92
Arsene Kouassi,lorient,22,ligue 1,29.02,15000000,3,0,0.9,4.03,0.59,0.9
 Alejandro Balde,barcelona,22,laliga,20.82,50000000,2,1,0.24,4.42,0.91,1.68
Raul Asencio,real madrid,23,laliga,18.96,20000000,5,1,0.53,2.74,0.16,0.9
Alvaro Carreras,real madrid,23,laliga,25.93,50000000,5,1,1.5,5.98,0.81,1.58
Renato Veiga,villareal,22,laliga,27.53,25000000,6,0,0.84,3.16,0.07,0.69
 Marc Pubill,atletico madrid,23,laliga,15.36,35000000,4,1,1.3,3.91,0.03,1.63
Valentin Gomez,villareal,23,laliga,20.83,12000000,4,0,1.15,3.55,0.34,2.21
Javi Rodríguez,celta vigo,23,laliga,28.46,18000000,2,0,0.91,2.5,0.35,1.34
Jon Aramburu,real sociedad,23,laliga,30.87,15000000,4,0,1.52,3.89,0.52,3.4
Omar El Hilali,espanyol,22,laliga,31.42,15000000,1,0,1.27,3.06,0.16,2.32
Cristhian Mosquera,arsenal,22,epl,10.99,40000000,4,1,0.73,3.09,0.73,2.91
Abdukodir Khusanov,manchester city,22,epl,15.88,50000000,3,1,2.08,4.72,0.13,1.7
Harvey Elliott,liverpool,23,epl,1.89,20000000,1,1,0.6,0.5,0.5,0.5
Milos Kerkez,liverpool,22,epl,25.11,35000000,4,1,0.56,3.5,0.28,1.68
Conor Bradley,liverpool,23,epl,10.36,25000000,3,1,1.26,4.15,1.06,1.83
Levi Colwill,chelsea,23,epl,0.25,50000000,3,1,0.25,0.25,0.25,0.25
Malo Gusto,chelsea,23,epl,25.19,35000000,4,1,1.23,4.84,0.64,2.1
 Tino Livramento,newcastle,23,epl,14.76,45000000,2,0,0.41,5.49,0.61,1.49
Murillo,nottingham,23,epl,23.7,50000000,4,0,1.43,4.3,0.38,1.48
Destiny Udogie,tottenham,23,epl,14.89,30000000,4,1,0.47,4.7,0.81,2.08
