mid_player,mid_club,mid_age,mid_comp,mid_time_norm,mid_value_eur,mid_contract_years_left,mid_big_club,mid_recov_90,mid_int_per90,mid_dis_per90,mid_chances_created_90,mid_xA_per90
Equi Fernández,bayer leverkusen,23,bundesliga,10.97,20000000,4,1,6.11,1.09,1.28,0.73,0.1
Anton Kade,augsburg,22,bundesliga,19.4,10000000,3,0,3.92,0.67,1.24,1.34,0.16
Paul Nebel,mainz,23,bundesliga,23.07,18000000,1,0,4.16,0.56,1.04,1.78,0.16
Isak Johannesson,fc koln,23,bundesliga,20.11,8000000,4,0,3.52,0.4,0.35,1.64,0.18
Petar Sui,inter milan,23,serie a,19.61,40000000,4,1,3.88,0.46,1.17,1.48,0.16
Andy Diouf,inter milan,23,serie a,5.33,20000000,4,1,4.31,0.19,2.25,2.06,0.29
Antonio Vergara,napoli,23,serie a,6.82,15000000,4,1,4.84,0.59,2.2,1.61,0.12
Máximo Perrone,como,23,serie a,30.53,35000000,3,0,4.26,0.72,0.72,1.05,0.1
Martin Baturina,como,23,serie a,17.43,30000000,4,0,4.93,0.29,1.72,3.56,0.27
Ardon Jashari,ac milan,23,serie a,7.78,25000000,4,1,5.14,0.64,1.16,2.57,0.03
Yunus Musah,ac milan,23,serie a,7.23,14000000,2,1,5.25,0.69,1.24,0.55,0.11
Lorenzo Bernasconi,atlanta,22,serie a,17.43,20000000,2,0,3.04,0.8,0.17,1.55,0.2
Arthur Atta,udinese,23,serie a,28.48,25000000,5,0,3.9,0.67,2.32,1.19,0.08
Cristian Volpato,sassuolo,22,serie a,11.81,10000000,2,0,4.23,0.51,1.95,1.95,0.14
Andy Diouf,inter milan,23,serie a,5.33,20000000,4,1,4.31,0.19,2.25,2.06,0.29
Hakon Arnar Haraldsson,lille,23,ligue 1,27.5,25000000,4,0,4.62,0.4,1.05,1.89,0.18
Tyler Morton,lyon,23,ligue 1,28.04,30000000,4,1,4.56,0.78,0.46,1,0.13
Djaoui Cissé,rennais,22,ligue 1,10.91,10000000,4,0,4.95,0.55,1.19,1.19,0.1
Lamine Camara,as monaco,22,ligue 1,20.57,40000000,3,1,7.68,1.8,1.07,1.7,0.21
Mamadou Coulibaly,as monaco,22,ligue 1,15.36,15000000,2,1,5.86,1.24,0.98,0.78,0.12
Julio Enciso,strasbourg,22,ligue 1,21.02,25000000,3,0,3.28,0.33,1.86,1.33,0.25
Marc Casadó,barcelona,22,laliga,10.9,18000000,2,1,3.76,0.64,0.55,1.28,0.07
pedri,barcelona,23,laliga,23.41,150000000,4,1,6.12,1.84,1.02,1.84,0.34
Jude Bellingham,real madrid,23,laliga,21.3,130000000,3,1,4.93,0.66,1.55,1.69,0.19
Pablo Barrios,atletico madrid,23,laliga,18.51,55000000,4,1,6.16,1.46,1.35,1.08,0.11
Ilaix Moriba,celta vigo,23,laliga,27.64,15000000,3,0,3.65,0.94,0.83,0.61,0.06
Miguel Roman,celta vigo,23,laliga,14.56,15000000,2,0,4.74,0.82,0.14,1.17,0.1
Ilias Akhomach,villareal,22,laliga,9.92,12000000,2,0,3.73,0.8,2.72,1.31,0.09
Javi Guerra,celta vigo,23,laliga,22.99,25000000,3,0,4.65,1.04,1.52,1.39,0.12
Luka Sucic,real sociedad,23,laliga,11.31,10000000,3,0,3.8,0.44,1.41,0.8,0.05
Rayan Cherki,manchester city,22,epl,19.84,90000000,4,1,4.59,0.35,1.71,3.02,0.44
Morgan Rogers,aston villa,23,epl,36.5,90000000,5,0,3.81,0.36,2.19,1.29,0.12
Florian Wirtz,liverpool,23,epl,26.53,100000000,4,1,4.33,0.41,1.36,2.26,0.19
Alex Scott,afc bournemouth,22,epl,31.77,50000000,2,0,6.14,1.13,0.82,0.85,0.09
Habib Diarra,sunderland,22,epl,15.63,35000000,4,0,3.07,0.26,0.9,0.45,0.05
Yehor Yarmoliu,brentford,22,epl,29.61,32000000,5,0,6.32,0.95,0.78,0.47,0.07
Roméo Lavia,chelsea,22,epl,4.19,22000000,4,1,4.77,1.19,0.5,0.5,0.5
Andrey Santos,chelsea,22,epl,13.94,40000000,5,1,3.44,1.43,0.14,0.57,0.06
Tim Iroegbunam,everton,23,epl,16.5,18000000,1,0,4.73,1.33,1.7,0.48,0.04
Adam Wharton,crystal palace,22,epl,28.47,70000000,3,0,5.8,0.95,0.95,1.55,0.26
Elliot Anderson,manchester city,23,epl,37.04,75000000,4,1,8.26,1.11,1.67,1.46,0.13
